id,name,type,typecode,location_x,location_y,adname
B000A7J2KW,阳坊大都饭店,住宿服务;宾馆酒店;四星级宾馆,100103,116.139158,40.137579,昌平区
B000A844UT,碧桂园九华山庄,住宿服务;宾馆酒店;五星级宾馆,100102,116.41772,40.182215,昌平区
B000A87R6L,梦都酒家,住宿服务;宾馆酒店;宾馆酒店,100100,116.295503,39.874227,丰台区
B000A60877,北京河南大厦,住宿服务;宾馆酒店;四星级宾馆,100103,116.457818,39.87329,朝阳区
B000A7CQYB,北京中国大饭店,住宿服务;宾馆酒店;五星级宾馆,100102,116.459434,39.909881,朝阳区
B000A7CMMI,北京顺义宾馆,住宿服务;宾馆酒店;三星级宾馆,100104,116.655467,40.131941,顺义区
B000A8XABG,晨光饭店,住宿服务;宾馆酒店;三星级宾馆,100104,116.107165,39.935092,门头沟区
B000A7C27Q,名人国际大酒店,住宿服务;宾馆酒店;五星级宾馆,100102,116.407033,39.995835,朝阳区
B000A82FYT,北京国际饭店,住宿服务;宾馆酒店;五星级宾馆,100102,116.428586,39.909613,东城区
B000A8318T,华侨大厦,住宿服务;宾馆酒店;五星级宾馆,100102,116.411476,39.923598,东城区
B000A7CIK5,紫玉饭店,住宿服务;宾馆酒店;三星级宾馆,100104,116.312168,39.9288,海淀区
B000A7BIUE,北京金融街国际酒店,住宿服务;宾馆酒店;五星级宾馆,100102,116.357836,39.919283,西城区
B000A7CJLS,崇文门饭店,住宿服务;宾馆酒店;三星级宾馆,100104,116.417608,39.9004,东城区
B000A7W48X,亚奥国际酒店,住宿服务;宾馆酒店;四星级宾馆,100103,116.371486,40.001056,朝阳区
B000A80O72,北京黄河京都大酒店,住宿服务;宾馆酒店;三星级宾馆,100104,116.436815,39.889431,东城区
B000A840Q7,北京锡华商务酒店,住宿服务;宾馆酒店;四星级宾馆,100103,116.302536,39.989397,海淀区
B000A7H56A,长富宫饭店,住宿服务;宾馆酒店;五星级宾馆,100102,116.437501,39.907583,朝阳区
B000A8UMDB,湖北大厦,住宿服务;宾馆酒店;四星级宾馆,100103,116.325263,39.94775,海淀区
B000A43AC1,北京圆山大酒店,住宿服务;宾馆酒店;三星级宾馆,100104,116.390384,39.972605,西城区
B000A7PLRG,北京金融街丽思卡尔顿酒店,住宿服务;宾馆酒店;五星级宾馆,100102,116.36315,39.915301,西城区
B000A78D28,燕山大酒店,住宿服务;宾馆酒店;四星级宾馆,100103,116.322519,39.970387,海淀区
B000A8UMAS,西郊宾馆,住宿服务;宾馆酒店;四星级宾馆,100103,116.343613,39.997164,海淀区
B000A3183D,江苏大厦(和平里中街),住宿服务;宾馆酒店;三星级宾馆,100104,116.409933,39.957547,东城区
B000A8XEOK,北京五洲大酒店,住宿服务;宾馆酒店;四星级宾馆,100103,116.404821,39.989814,朝阳区
B000A6D6F6,南昌饭店,餐饮服务;中餐厅;中餐厅|住宿服务;宾馆酒店;宾馆酒店,050100|100100,116.377374,39.917953,西城区
B000A7BJDT,北京福建大厦,住宿服务;宾馆酒店;四星级宾馆,100103,116.398388,39.969461,朝阳区
B000A7HA8S,大兴宾馆(兴丰大街),住宿服务;宾馆酒店;三星级宾馆,100104,116.340011,39.727573,大兴区
B000A7C3G9,世纪金源大饭店,住宿服务;宾馆酒店;五星级宾馆,100102,116.280223,39.952931,海淀区
B000A7BS9H,陶然大厦,住宿服务;宾馆酒店;三星级宾馆,100104,116.38846,39.86992,东城区
B000A7RJY7,昆泰嘉禾酒店,住宿服务;宾馆酒店;四星级宾馆,100103,116.320935,40.076268,昌平区
B000A55454,二十一世纪饭店,住宿服务;宾馆酒店;三星级宾馆,100104,116.473519,39.952171,朝阳区
B000A8318X,北京香格里拉饭店,住宿服务;宾馆酒店;五星级宾馆,100102,116.308065,39.944343,海淀区
B000A68492,金台饭店(装修中),住宿服务;宾馆酒店;四星级宾馆,100103,116.37927,39.932511,西城区
B000A2E5D2,辽宁饭店,住宿服务;宾馆酒店;三星级宾馆,100104,116.379435,39.965611,西城区
B000A85NMC,亚丁湾商务酒店,住宿服务;宾馆酒店;三星级宾馆,100104,116.388117,39.984096,朝阳区
B000A7CICD,中国职工之家,住宿服务;宾馆酒店;四星级宾馆,100103,116.34538,39.906117,西城区
B000A2415C,北京丽亭酒店,住宿服务;宾馆酒店;四星级宾馆,100103,116.419427,39.916777,东城区
B000A875AI,北京南宫温泉度假酒店,住宿服务;宾馆酒店;五星级宾馆,100102,116.153475,39.804652,丰台区
B000A8X5MB,贵州大厦,住宿服务;宾馆酒店;四星级宾馆,100103,116.418419,39.969938,朝阳区
B000A0D3B7,北方佳苑饭店,住宿服务;宾馆酒店;四星级宾馆,100103,116.412954,39.910324,东城区
B0FFF345TH,北京重庆饭店,住宿服务;宾馆酒店;三星级宾馆,100104,116.435632,39.963278,朝阳区
B000A7C1IA,京林大厦,住宿服务;宾馆酒店;四星级宾馆,100103,116.601557,40.045158,顺义区
B000A09CFD,燕山石化双阳宾馆,住宿服务;宾馆酒店;三星级宾馆,100104,116.62896,40.329242,怀柔区
B000A3D560,金泰之家(盛达园店),住宿服务;宾馆酒店;三星级宾馆,100104,116.33844,39.90822,西城区
B000A83XUA,北京铁道大厦,住宿服务;宾馆酒店;四星级宾馆,100103,116.324675,39.900528,海淀区
B000A2B462,嘉苑饭店,住宿服务;宾馆酒店;三星级宾馆,100104,116.336424,39.953571,海淀区
B000A85LY9,万方苑国际酒店,住宿服务;宾馆酒店;四星级宾馆,100103,116.377209,39.856624,丰台区
B000A84FLT,北京人卫酒店,住宿服务;宾馆酒店;五星级宾馆,100102,116.446084,39.875733,朝阳区
B0FFF3JLDY,水镇大酒店,住宿服务;宾馆酒店;五星级宾馆,100102,117.269433,40.644267,密云区
B000A7CGF7,民族饭店,住宿服务;宾馆酒店;四星级宾馆,100103,116.366917,39.907873,西城区
B000A83I1W,北京富力万丽酒店,住宿服务;宾馆酒店;五星级宾馆,100102,116.46079,39.897853,朝阳区
B000A8UCC8,丰大国际大酒店,住宿服务;宾馆酒店;五星级宾馆,100102,116.508606,39.795952,大兴区
B000A7BQP0,新大宗饭店,住宿服务;宾馆酒店;四星级宾馆,100103,116.468284,39.945964,朝阳区
B000A462AE,东方饭店,住宿服务;宾馆酒店;四星级宾馆,100103,116.389579,39.888085,西城区
B000A7C3AR,北京友谊宾馆贵宾楼,住宿服务;宾馆酒店;五星级宾馆,100102,116.321311,39.963973,海淀区
B000A10FBB,北京饭店,住宿服务;宾馆酒店;五星级宾馆,100102,116.409808,39.908742,东城区
B000A170C7,中银酒店,住宿服务;宾馆酒店;三星级宾馆,100104,115.980522,40.471416,延庆区
