,id,name,type,typecode,location_x,location_y,adname
421,B000A879VU,鑫百万(大兴店),餐饮服务;中餐厅;中餐厅,050100,116.336626,39.723309,大兴区
422,B000A85TNY,洞庭湘菜(张凤路店),餐饮服务;中餐厅;湖南菜(湘菜),050108,116.721719,39.851214,通州区
423,B000A52286,新乡杨记红焖羊肉,餐饮服务;中餐厅;中餐厅,050100,116.409049,39.871721,东城区
424,B000A2A750,大上海餐厅(裕龙大酒店东北),餐饮服务;中餐厅;上海菜,050107,116.298559,39.923176,海淀区
425,B000A84F06,庆丰包子铺(西便门店),餐饮服务;快餐厅;快餐厅,050300,116.353031,39.899181,西城区
426,B000A0476D,通达火锅城,餐饮服务;中餐厅;火锅店,050117,116.858168,40.395355,密云区
427,B000A87APK,大理米线(亦庄店),餐饮服务;中餐厅;云贵菜,050114,116.499058,39.791025,大兴区
428,B000A8WCVW,湘水滨湖南乡土菜(马驹桥店),餐饮服务;中餐厅;湖南菜(湘菜),050108,116.544000,39.757124,通州区
429,B000A8W4AY,朝鲜饭店,餐饮服务;中餐厅;特色/地方风味餐厅,050118,116.137303,39.722990,房山区
430,B000A7XV6J,阳坊胜利涮羊肉(上庄店),餐饮服务;中餐厅;火锅店,050117,116.215509,40.098333,海淀区
431,B000A8758C,人民大会堂宴会厅,餐饮服务;中餐厅;综合酒楼,050101,116.393711,39.904989,西城区
432,B000A87B2J,眉州东坡酒楼(通州店),餐饮服务;中餐厅;四川菜(川菜),050102,116.664990,39.906493,通州区
433,B000A8VQYO,沙县小吃(北七家店)(装修中),餐饮服务;中餐厅;特色/地方风味餐厅,050118,116.410836,40.073242,昌平区
434,B000A7IN0T,顺一府饺子馆(北京apm),餐饮服务;中餐厅;特色/地方风味餐厅,050118,116.411646,39.913720,东城区
435,B000A8820W,禾田饭庄,餐饮服务;中餐厅;中餐厅,050100,116.399645,39.631040,大兴区
436,B000A84XE5,甜鸭梨烤鸭店(农大店),餐饮服务;中餐厅;中餐厅,050100,116.279263,40.024270,海淀区
437,B000A80NEP,张记一枝花羊汤(广内大街店),餐饮服务;中餐厅;中餐厅,050100,116.371441,39.888276,西城区
438,B0FFGXMEZ2,三色莲花印度餐厅(光华路SOHO一期),餐饮服务;外国餐厅;印度风味,050209,116.452793,39.913135,朝阳区
439,B000A9DPEF,京味斋烤鸭店(新源街店),餐饮服务;中餐厅;北京菜,050111,116.454099,39.951948,朝阳区
440,B000A87QQ6,吉野家(太平桥西里店),餐饮服务;快餐厅;吉野家,050309,116.312860,39.885395,丰台区
441,B000A87CKP,田老师红烧肉(回龙园店),餐饮服务;快餐厅;快餐厅,050300,116.326722,40.081958,昌平区
442,B000A835A4,宏状元(万柳店),餐饮服务;中餐厅;中餐厅,050100,116.297640,39.964350,海淀区
